name,gender,function,country_code,country,height_cm,weight,disciplines,events,birth_date,year,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
LAI Chu En,Male,Athlete,TPE,Chinese Taipei,169,,Boxing,Men's 63.5kg,1996-07-23,1996,PINGTUNG COUNTY,Chinese Taipei,,Chinese Taipei,The Paiwan Warrior (referring to his Indigenous ethnicity),"Walking, listening to music, hiking",Athlete,"Taiwan Sport University (Taoyuan, TPE)",,Mandarin,Luo Shang-Tse (TPE),"He did not like school work and was rebellious as a kid. Originally in the athletics team but did not like it and started to miss training. ""I was kicked out of the team and was a bit depressed. I fell asleep in classes because I had no interest in anything. Then my Mandarin teacher came to me and recommended that I try boxing, and I have never looked back."" (109sport.ptc.edu.tw, 31 Dec 2020)","Boxer Manny Pacquiao (PHI), the first eight-division world champion, winning 12 major world titles across multiple weight classes in a career spanning four decades. His record boasts 62 wins, 39 by knockout, 8 losses and 2 draws. While he never competed in the Olympics, he was the Philippine delegation's flag bearer at the 2008  Olympic Games opening ceremony as the first-ever non-participant to serve as the country's flagbearer. Outside of boxing, he has served as a Senator of the Philippines from 2016 to 2022",His mother and his high school coach,"""Forget what is behind and aim at what is ahead. Go hard."" (Athlete, 28 Jul 2016)",,,
LAI Kuan-Chieh,Male,Athlete,TPE,Chinese Taipei,,,Canoe Sprint,Men's Canoe Single 1000m,1996-12-29,1996,JIAOXI TOWNSHIP,Chinese Taipei,YILAN COUNTY,Chinese Taipei,,,,,,,,,,,,,,
Laia ALEIXANDRI,Female,Athlete,ESP,Spain,170,,Football,Women,2000-08-25,2000,SANTA COLOMA DE GRAMENET,Spain,MANCHESTER,Great Britain,,Her dog Luke and art,Athlete,Studying Marketing at Universidad a Distancia de Madrid (UDIMA),"Partner, Moises Trillo (telecommunications and marketing entrepreneur and football player's agent). Father, Xavier. Mother, Rosa. Sister, Gemma","English, Spanish",National: Montse Tomé (ESP),,"Footballer Virginia Torrecilla (ESP), Spanish international who played in the 2015 and 2019 FIFA World Cup tournaments. Three-time league winner with Barcelona. Diagnosed with a brain tumour in 2020, she returned to the pitch in 2022 after surgery.</p><p>Footballer Xavi Hernandez (ESP), 2010 FIFA World Cup winner and two-time UEFA European Championship winner (2008, 2012) with Spain. Four-time UEFA Champions League and eight-time La Liga winner with Barcelona as a player. 2022-23 La Liga winner with Barcelona as manager",,,,"""I put my right shin guard on before my left one. And when I am going to enter the pitch, I always enter with my right foot first as well."" (puma-catchup.com, 26 May 2023)</p><p>""At my clubs, I have always worn the same number: 4. It is my lucky number, the one I like the most."" (mancity.com, 9 Jun 2022)",
Laia CODINA,Female,Athlete,ESP,Spain,170,,Football,Women,2000-01-22,2000,CAMPILONCH,Spain,,Great Britain,,,"Athlete, student",Started studying Journalism at the University of Vic in Barcelona. Continued her studies at the Open University of Catalonia (UOC),"Father, Xavier Codina. Mother, Nuria. Sister, Mariona","English, Spanish",National: Montse Tomé (ESP),,"Footballer Carles Puyol (ESP), 2010 FIFA World Cup winner, 2008 UEFA European Championship winner,  2000 Olympic silver medallist. Three-time Champions League winner and six-time La Liga winner with Barcelona",,"""When no one gives you anything, you value much more when things are going well for you and when good things come to you. With humility you can go to many places, doing small things, in the end you do great things."" (vavel.com, 25 Oct 2019)",,,
Laia VIDOSA,Female,Alternate Athlete,ESP,Spain,,,Hockey,Women,1999-01-08,1999,,Spain,,Spain,,,,,,,,,,,,,,
Laila van der MEER,Female,Athlete,NED,Netherlands,,,Sailing,Mixed Multihull,2000-04-12,2000,LEEUWARDEN,Netherlands,GROUW,Netherlands,,,Athlete,Bachelor of Arts in Integral Safety Science at NHL University of Applied Sciences (NED),,"Dutch, English",Karel Begemann (NED),She started sailing at KWV Frisia in the Netherlands,,,"""If we participate, we want to dominate."" (teamallianz.nl)",,,
Laila YOUSSIFOU,Female,Athlete,NED,Netherlands,,,Rowing,Women's Quadruple Sculls,1996-01-02,1996,AMSTERDAM,Netherlands,AMSTERDAM,Netherlands,,"Staying up late, cycling, going to local markets, taking walks","Athlete, student",Received an undergraduate degree in Civil Engineering in 2019 and is pursuing her Master's in Engineering and Policy Analysis at Delft University of Technology (NED),"Mother, Bettina van den Beld","Dutch, English, German",National: Eelco Meenhorst (NED),Started rowing for a school sport project by chance after the canoeing team was full,,,"'In rowing it's not just about you, it's about how the team performs as a whole.'' (rsm.global)",,,"Street dance/hip hop: Participated until age 13, with appearances at the Dutch national championships"
Laina PEREZ,Female,Athlete,CUB,Cuba,,,Shooting,"10m Air Pistol Women', '25m Pistol Women",1988-10-27,1988,JAGUEY GRANDE,Cuba,JAGUEY GRANDE,Cuba,,"Watching dramas, TV, reading, listening to music, learning languages",Athlete,Graduated in 2012 with a Bachelor's degree of Psychobiology from the University of Matanzas (CUB),,"English, Spanish",National/Personal: Dariel Suarez (CUB),"She used to go along to her friend's training sessions. ""One day the coach asked me if I wanted to try it and I liked it from that moment on."" (Athlete, 25 Apr 2024)",,Her family,"""If it makes you happy, it's worth it."" (Athlete, 25 Apr 2024)",,,
Lais NAJJAR,Male,Athlete,SYR,Syrian Arab Republic,,,Artistic Gymnastics,Men,2002-10-08,2002,"CHICAGO, ILL",United States,"OAK BROOK, ILL",United States,,"Chess, reading",Athlete,"Studies Computer Science at the University of Michigan (Ann Arbor, MI, USA)","Mother, Chirin Chahkhachiro. Father, Maher Najjar. Sisters, Masa and Lian",English,Club: Arkadi Andryushchenko,,,,,,,
Laisana LIKUCEVA,Female,Athlete,FIJ,Fiji,169,76.0,Rugby Sevens,Women,1999-02-03,1999,,,,,,,,,,,,,,,,,,
Lakshya SEN,Male,Athlete,IND,India,179,,Badminton,Men's Singles,2001-08-16,2001,ALMORA,India,BANGALORE,India,,"Playing on his PlayStation, travelling, going out with friends",,,"Father, DK Sen. Mother, Nirmala Sen. Older brother, Chirag","English, Hindi",,,,,,"Father DK Sen (badminton), one of the most respected coaches on the Indian badminton circuit. </p><p>Brother, Chirag (badminton), was junior world No.2 in 2016","""I always try to do a good shadow routine before starting a match. When my movement is good and I am moving around, I tend to play better."" (The Times of India, 20 Feb 2024)",
Lalit Kumar UPADHYAY,Male,Athlete,IND,India,,,Hockey,Men,1993-12-01,1993,VARANASI,India,MUMBAI,India,,,,,,,,,,,,,,
Lalomilo LALOMILO,Male,Athlete,SAM,Samoa,173,99.0,Rugby Sevens,Men,1999-02-12,1999,,,,,,,,,,,,,,,,,,
Lalu Muhammad ZOHRI,Male,Athlete,INA,Indonesia,172,,Athletics,Men's 100m,2000-07-01,2000,,Indonesia,,Indonesia,,,,,,,,,,,,,,
Lam DORJI,Male,Athlete,BHU,Bhutan,,,Archery,Men's Individual,1995-05-18,1995,SAMDRUP JONGKHAR,Bhutan,THIMPHU,Bhutan,,Playing football,"Athlete, student",Studies at Royal Thimphu College (BHU),,"Dzongkha, English",National: Park Young Sook (KOR). <br>Personal: Tashi Tshering (BHU),,,,,,,
Laman ALIMURADOVA,Female,Athlete,AZE,Azerbaijan,,,Rhythmic Gymnastics,Group All-Around,2004-11-29,2004,,Azerbaijan,BAKU,Azerbaijan,,,Athlete,,,"Azerbaijani, English, Russian",National: Siyana Vasileva (AZE); Zhala Garatova (AZE),"Her parents enrolled her ""and I immediately liked it"". (1news.az, 19 Jul 2022)",,,"""In gymnastics, the main thing is desire. The athlete should enjoy the training process. Of course, training does not always go smoothly. Sometimes things don't work out. But you just need to work harder and then everything will work out.” (1news.az, 19 Jul 2022)</p><p>""Gymnastics is fun for me, so I don’t sacrifice anything when I dedicate most of my time to the sport every day."" (1news.az, 19 Jul 2022)",,,
Lamar BEHAIRY,Female,Athlete,EGY,Egypt,,,Rhythmic Gymnastics,Group All-Around,2007-08-01,2007,CAIRO,Egypt,GIZA,Egypt,Lamoory,Art,Athlete,,"Father, Assem Behairy. Mother, Kholoud El Marredy. Older sister, Sandrie Assem Behairy. Younger sister, Ledia Assem Behairy. Younger brother, Youssef Assem Behairy. Younger sister, Layra Assem Behairy",Arabic,"Personal: Noha Hossam.<br>Personal, National: Mayar Ragab, Noha Hossam","""I saw my older sister doing it and loved it from her."" (intlgymnast.com, 27 May 2024)",Her parents and coaches,Her parents and coaches,"""Always seeking perfection.""","Her older sister, Sandrie Assem Behairy, was involved in high-level rhythmic gymnastics. Her younger sister, Ledia Assem Behairy, won a team gold medal in rhythmic gymnastics at the 2024 African Championships in Kigali, Rwanda",Sleeping well and eating healthy food,
Lamar TAYLOR,Male,Athlete,BAH,Bahamas,,,Swimming,Men's 100m Freestyle,2003-06-21,2003,,,,,,,,,,,,,,,,,,
Lamara DISTIN,Female,Athlete,JAM,Jamaica,,,Athletics,Women's High Jump,2000-03-03,2000,HANOVER,Jamaica,"COLLEGE STATION, TX",Jamaica,,"Listening to music, watching movies, dancing, playing games and hanging out with family and friends",Athlete,"Graduated in 2023 with a Bachelor’s degree in Sports Management at Texas A&M University in College Station, TX (USA)","Father, Hubert. Mother, Ann Marie. Three brothers. One sister",English,,,,,,,,
Lamec Ambetsa KOKOYO,Male,Athlete,KEN,Kenya,168,81.0,Rugby Sevens,Men,2000-01-27,2000,,,,,,,,,,,,,,,,,,
Lamecha GIRMA,Male,Athlete,ETH,Ethiopia,,,Athletics,Men's 3000m Steeplechase,2000-11-26,2000,BEKOJI,Ethiopia,SULULTA,Ethiopia,,Watching films,Athlete,,"Parents are farmers. The third of 10 children (eight boys, two girls)","Amharic, Oromo","Personal: Fikadu Girma (ETH), his brother","His birthplace Bekoji is an area known for running. “Everyone is a runner there - we grow up having seen Kenenisa (Bekele), Derartu (Tulu), Tirunesh (Dibaba), and others succeed. When I saw them I started running, and I loved it.” (Citius Mag, 20 June 2023)",,,,"Younger brother Diriba Girma (athletics), finished fourth in the 3000m at the 2022 World U20 Championships. </p><p>Younger brother Kuma Girma (athletics), finished fourth in the 5000m at the 2024 African Games",,
Lamont Marcell JACOBS,Male,Athlete,ITA,Italy,186,,Athletics,"Men's 100m, Men's 4 x 100m Relay",1994-09-26,1994,"EL PASO, TX",United States,"JACKSONVILLE, FL",United States,Crazylongjumper,Following Formula One and basketball,Athlete,,"Wife, Nicole Daza. Sons, Jeremy (born 2014) and Anthony (2019). Daughter, Megan (born 2021). Mother, Viviana Masini. Father, Lamont Marcell Jacobs Sr",Italian,Personal: Rana Reider (USA),Planned to follow his father into basketball before deciding to focus on athletics,"Racing driver Lewis Hamilton (GBR), winner of seven world drivers' championship titles",,,,,
Lana PUDAR,Female,Athlete,BIH,Bosnia and Herzegovina,,,Swimming,"Women's 100m Butterfly, Women's 200m Butterfly",2006-01-19,2006,MOSTAR,Bosnia & Herzegovina,MOSTAR,Bosnia & Herzegovina,,"Socialising with friends and family, puzzles",Student,,,"Bosnian, English, Serbian",Personal: Damir Dedovic,"""My parents wanted me to learn how to swim."" (Athlete, 02 Jul 2021)","Swimmer Sarah Sjostrom (SWE), four-time Olympic medallist (one gold, two silver, one bronze), 25-time world championship medallist (14 gold, eight silver, three bronze)","National coach Alena Cemalovic, and strength and conditioning coach Deni Mandic","""Keep dreaming big and keep training hard."" (Athlete, 02 Jul 2021)","Father, Velibor Pudar (football), played as a goalkeeper for several clubs, including FK Velez Mostar (BIH), before moving into management for clubs in the Bosnian and Saudi Arabian leagues",,
Lanae-Tava THOMAS,Female,Athlete,JAM,Jamaica,,,Athletics,Women's 200m,2001-01-28,2001,KINGSTON,Jamaica,"HENRIETTA, NY",United States,,"Dancing, listening to music, networking and chit-chatting. Loves Jamaican cuisine and quesadillas",Athlete,"Graduated in 2022 with Bachelor's degree in Human Biology from the University of Southern California, Los Angeles, CA (USA)","Father, Lance. Mother, Michelle. Has three siblings",English,"Personal: Edrick Floreal (CAN), two-time Olympian",,"Sprinter Shelly-Ann Fraser-Pryce (JAM), three-time Olympic champion (four silver, one bronze), 16-time world championship medallist (10 gold, five silver, one bronze). In the 100m specifically, two-time Olympic champion (2008, 2012), five-time world champion (2009, 2013, 2015, 2019, 2022)",,,,,
Lancinet KOUROUMA,Male,Alternate Athlete,GUI,Guinea,180,,Football,Men,2004-03-30,2004,,,,,,,,,,,,,,,,,,
Lani PALLISTER,Female,Athlete,AUS,Australia,,,Swimming,"Women's 1500m Freestyle, Women's 800m Freestyle",2002-06-06,2002,"SYDNEY, NSW",Australia,"BRISBANE, QLD",Australia,,,,,,English,Club: Michael Bohl (AUS),,"Swimmer Jessica Ashwood (AUS), 2016 Olympic silver medallist (4x200m freestyle relay), 2015 World Championships bronze medallist (400m freestyle).</p><p>Swimmer Katie Ledecky (USA), 10-time Olympic medallist (seven gold, three silver), 21-time world champion",,"""Hope isn’t a strategy."" (speedo.com.au)","Mother, Janelle Elford (swimming), two-time 1988 Olympic Games finalist (400m freestyle, 800m freestyle). Now coaches her daughter",,
Lani WITTEVRONGEL,Female,Alternate Athlete,BEL,Belgium,,,Cycling Track,Women's Madison,2004-07-12,2004,,,,,,,,,,,,,,,,,,
Lanihei CONNOLLY,Female,Athlete,COK,Cook Islands,,,Swimming,Women's 100m Breaststroke,2005-12-30,2005,,,,,,,,,,,,,,,,,,
Lapo BIANCIARDI,Male,Athlete,ITA,Italy,,,Athletics,Men's 4 x 400m Relay,1998-07-06,1998,,,,,,,,,,,,,,,,,,
Lara ANDRES,Female,Athlete,FRA,France,169,,Water Polo,Women,2006-07-04,2006,,,,,,,,,,,,,,,,,,
Lara CASAS,Female,Athlete,ARG,Argentina,,,Hockey,Women,2004-06-22,2004,BUENOS AIRES,Argentina,,Argentina,,,Athlete,,,Spanish,National: Fernando Ferrara (ARG),,,,,,,
Lara DALLMAN-WEISS,Female,Athlete,USA,United States of America,,,Sailing,Mixed Dinghy,1989-01-30,1989,"SHOREVIEW, MN",United States,"MIAMI, FL",United States,,"Cycling, boxing and seeking out unique coffee shops","Athlete, professional drone pilot, copywriter and photographer","Graduated in 2011 with a degree in Nutrition from Eckerd College (St. Petersburg, FL, USA)","Father, John. Mother, Sue Dallman. Older brother, Tom. Older sister, Vanessa",English,Personal: Robby Bisi (USA),"Father taught himself how to sail and brought her along to his races. She took lessons at summer camp and on White Bear Lake in Minnesota. She spent hours growing to love the sport without taking it too seriously. ""My serious athletics were basketball, dance and running until I stopped everything else and pursued sailing full-time in college."" (Athlete, 25 May 2024)","Jane Goodall (GBR), English primatologist and anthropologist.</p><p>Original WNBA stars Sheryl Swoopes, Cynthia Cooper, Katie Smith, Dawn Staley, Lisa Leslie, Rebecca Lobo (all USA)","Her parents. ""They are hands down the most inspiring power couple. They are kind, bold, funny, strong, and everything I want to be."" (Athlete, 25 May 2024)","""Stay consistent and trust your gut."" (Athlete, 25 May 2024)",,"No superstitions, she even bring bananas on boats (in some places believed to be bad luck). </p><p>Loves rituals and daily meditation. Whenever she moves into a new training location she establishes her night-time routine and goes through the same motions every day on race day ",
Lara DASHTI,Female,Athlete,KUW,Kuwait,,,Swimming,Women's 100m Breaststroke,2004-01-24,2004,KUWAIT CITY,Kuwait,"WELLESLEY, MA",United States,,,"Athlete, student","Studies Psychology at Wellesley College (MA, USA)",,"Arabic, English",,,,,,,,
Lara de LIEDEKERKE - MEIER,Female,Athlete,BEL,Belgium,,,Equestrian,"Eventing Individual', 'Eventing Team",1988-02-06,1988,UKKEL,Belgium,GESVES,Belgium,,,"Athlete, business owner, coach, horse trainer",Bachelor's of Science and a Master's degree in Management at the Institute of Business Studies (ICHEC) in Brussels (BEL),"Husband, Kai-Steffen Meier. Daughter, Chiara (2015). Son, Arthur","Dutch, English, French","Dressage: Kai-Steffen Meier (GER) - her husband.<br>Jumping: Brecht d'Hoore (BEL), Markus Doring (GER)","She was raised in a family that was involved in equestrian sport, notably her grandfather, who did polo, driving and eventing","Tennis player Roger Federer (SUI), 20-time Grand Slam singles champion, 2008 Olympic doubles champion, 2012 Olympic singles silver medallist.</p><p>Equestrian eventing rider Michael Jung (GER), four-time Olympic medallist (three gold, one silver), four-time world championship medallist (three gold, one silver)","Her husband, and her mother","""Keep working and keep believing"". (Athlete, 16 Jun 2024)","Husband, Kai-Steffen Meier (equestrian), represented Germany at the 2009 and 2011 European championships. He was a reserve for the German team at the London 2012 Olympic Games",,
Lara GILLESPIE,Female,Athlete,IRL,Ireland,,,Cycling Track,"Women's Madison, Women's Omnium, Women's Team Pursuit",2001-04-21,2001,CARLOW,Ireland,WICKLOW,Ireland,,"Spending time with family, spending time in nature, gardening, walking her dog, cooking",Athlete,"Bachelor's degree in Health and Performance Science at University College Dublin, Ireland","Mother, Suzanne. Younger sister, Bobbo",English,,"She always loved her bike and did a few mountainbike races when she was a kid. She then wanted to join a mountainbike club to do more racing but accidentally signed up for a cycling road club. ""I did a road race and hated being the worst one but loved the challenge."" (cyclingireland.ie, 21 Jun 2022)</p><p>Was involved in football, dancing, ballet, running and hockey before she decided to fully focus on cycling","Heptathlete Jessica Ennis-Hill (GBR), two-time Olympic medallist (2012 gold, 2016 silver), three-time world champion (2009, 2011, 2015)",,"""You can be anything if you put your mind to it."" Words from her mum. (cyclingireland.ie, 21 Jun 2022)</p><p>""“You have to be willing to do the hard work, put in the preparation time and when it comes down to race time, stay confident that you are exactly where you belong.” (us.gympluscoffee.com, 2022)",,,Road cycling: Races for UAE Development team (ITA).</p><p>Cyclo-cross: Competes at international level
Lara GONZALEZ,Female,Athlete,ESP,Spain,184,,Handball,Women,1992-02-22,1992,SANTA POLA,Spain,BUCHAREST,Romania,,Watching television series,Athlete,Studied Sports Science at Miguel Hernandez University of Elche (ESP),,"English, French, Spanish",National: Ambros Martin (ESP).<br>Club: David Ginesta Montes (ESP),Comes from a sporting family,,,,,,
Lara NALBANTOGLU,Female,Athlete,TUR,Türkiye,,,Sailing,Mixed Dinghy,2001-10-02,2001,IZMIR,Türkiye,ISTANBUL,Türkiye,Laru,"Sailing, pottery, reading self-improvement books, yoga, cooking, and exploring new places","Athlete, student",Business Administration and Management Marketing at Sabanci University (TUR),"Father, Ergun. Mother, Funda","English, Turkish","Romain Bonnaud (FRA), also coaches members of the USA team",She was interested in boats and the sea from a young age,"Sailors Ates and Deniz Cinar (TUR) four-time Olympians (2008, 2012, 2016, 2020) in the 470 class","Sailor Sime Fantela (CRO), 2016 Olympic gold medallist in the 470 class. ""He has managed to win a gold medal in every boat he has used, is technically very proficient, highly talented and a humble person.""","""Enjoy every moment."" (Athlete, Jun 2024)",,"""Listening to motivating songs, thinking positive and keeping my energy high."" (Athlete, Jun 2024)",
Lara TIEFENTHALER,Female,Athlete,AUT,Austria,,,Rowing,Lightweight Women's Double Sculls,1999-09-28,1999,,,VIENNA,Austria,,,Athlete,,,German,National: Robert Sens (GER),,,,,,,
Lara VADLAU,Female,Athlete,AUT,Austria,,,Sailing,Mixed Dinghy,1994-03-29,1994,FELDBACH,Austria,KLAGENFURT,Austria,,"Skiing, gymnastics, football",Athlete,Medicine at Sigmund Freud University (AUT),"Partner, Lea Schuller (footballer). Father, Ernst. Mother, Eva",Austrian,,"Parents were sailors.</p><p>""My parents always took me sailing on Lake Wörthersee but I always wanted to do something more exciting and begged them to go skiing or motocross when one day, at the age of 7, they put me in a small boat called the Optimist... That day the wind blew across the water and my great passion for this sport was born. From that point on I couldn't imagine ANYTHING cooler, more exciting and more adrenaline-filled and I was totally in love."" (sailing.org/sailor/lara-vadlau)",Her father,Her father,"""Live now, worry later."" (laravadlau.com)","Partner, Lea Schuller (GER), professional footballer player for Bayern Munich and Germany.</p><p>Father Ernst Vadlau (sailing, karate, hang gliding, cross country equestrian), two-time European champion in sport boat class, five-time Austrian champion in karate, two-time Austrian champion in hang gliding, and three-time Austrian champion cross country equestrian",,
Larisa BOGDAN,Female,Athlete,ROU,Romania,,,Rowing,Women's Four,2002-11-05,2002,ARVA,Romania,NAVODARI,Romania,,,"Athlete, student",Studies Physical Education at Ovidius University of Constanta (ROU),,Romanian,"National: Antonio Colamonici (ITA), Dorin Alupei (ROU)",,,,,,,
Larisa CERIC,Female,Athlete,BIH,Bosnia and Herzegovina,175,,Judo,Women +78 kg,1991-01-26,1991,TRAVNIK,Bosnia & Herzegovina,SARAJEVO,Bosnia & Herzegovina,Lakyca,"Hiking, crossfit",Athlete,Physical Education and Sport Studies at University of Travnik (BIH),"Younger sister, Emina","Bosnian, English",Branislav Crnogorac (BIH),All her friends started doing judo,,Coach Branislav Crnogorac (BIH). Judoka Arijana Jaha (BIH). Her family,"""Be positive, no matter what happens."" (Athlete, 14 Mar 2024)","Younger sister, Emina Ceric (judo), national youth champion in 2013",,
Larissa ARAUJO,Female,Athlete,BRA,Brazil,167,,Handball,Women,1992-07-01,1992,CURITIBA,Brazil,BRAILA,Romania,Lari,,Athlete,Studied Physical Education at Paranaense University (BRA),,"English, Portuguese",National: Cristiano Silva (BRA).<br>Club: Andrei Popescu (ROU),,,,,,,
Larissa IAPICHINO,Female,Athlete,ITA,Italy,172,,Athletics,Women's Long Jump,2002-07-18,2002,BORGO SAN LORENZO,Italy,FLORENCE,Italy,,Writing,Athlete,Law studies,"Father, Gianni. Mother, Fiona May",Italian,"Personal: Gianni Iapichino (ITA), her father, since June 2021",,,,,"Mother, long jumper Fiona May, two-time Olympic silver medallist (1996, 2000), four-time world championships medallist (two golds, silver, bronze), 1997 World Indoor champion, personal best: still standing Italian record 7.11m in 1998. </p><p>Father, pole vaulter Gianni, competed at the 1995 World Championships, 1994 European Championships eighth, personal best: 5.70 in 1994, long jump: 7.95 in 1993",,
Larissa NUSSER,Female,Athlete,NED,Netherlands,175,,Handball,Women,2000-02-08,2000,SITTARD,Netherlands,ODENSE,Denmark,,"Shopping, spending time with friends and family",Athlete,,"Father, Harold. Mother, Chantal. Sister, Chiara","Dutch, English",National: Per Johansson (SWE).<br>Club: Ole Gustav Gjekstad (NOR),,,,,"Father, Harold Nusser (handball), 155 appearances with the Dutch national team between 1990-2002. Played for clubs in Belgium and the Netherlands.</p><p>Sister, Chiara Nusser (handball), played in the Belgian First Division",,
Larissa PAULUIS,Female,Athlete,BEL,Belgium,,,Equestrian,"Dressage Individual', 'Dressage Team",1980-02-22,1980,,,BRAINE-L'ALLEUD,Belgium,Chichi,,"Athlete, business owner, coach, horse trainer",,"Two daughters, Capucine and Josephine","English, French","Personal: Eddy Swennen, Mariette Withages (BEL)","""I competed in jumping but I was lucky to have a very good dressage pony to ride which convinced me that dressage was the discipline I preferred, so I continued doing it. I like the rigour, the challenge and the complicity with the horses."" (chevalmag.com, 31 May 2021)",,,,,,
Larissa PIMENTA,Female,Athlete,BRA,Brazil,,,Judo,"Women -52 kg', 'Mixed Team",1999-03-01,1999,SAO VICENTE,Brazil,SAO PAULO,Brazil,,,,,,,,,,,,,,
